Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
414,2/23/2023,6:29:16 PM,387,197.2222222
415,2/23/2023,6:29:17 PM,386,196.6666667
416,2/23/2023,6:29:18 PM,386,196.6666667
417,2/23/2023,6:29:19 PM,386,196.6666667
418,2/23/2023,6:29:20 PM,385,196.1111111
419,2/23/2023,6:29:21 PM,385,196.1111111
420,2/23/2023,6:29:22 PM,385,196.1111111
421,2/23/2023,6:29:23 PM,385,196.1111111
422,2/23/2023,6:29:24 PM,385,196.1111111
423,2/23/2023,6:29:25 PM,384,195.5555556
424,2/23/2023,6:29:26 PM,384,195.5555556
425,2/23/2023,6:29:27 PM,384,195.5555556
426,2/23/2023,6:29:28 PM,384,195.5555556
427,2/23/2023,6:29:29 PM,383,195
428,2/23/2023,6:29:30 PM,383,195
429,2/23/2023,6:29:31 PM,383,195
430,2/23/2023,6:29:32 PM,383,195
431,2/23/2023,6:29:33 PM,382,194.4444444
432,2/23/2023,6:29:34 PM,382,194.4444444
433,2/23/2023,6:29:35 PM,382,194.4444444
434,2/23/2023,6:29:36 PM,382,194.4444444
435,2/23/2023,6:29:37 PM,381,193.8888889
436,2/23/2023,6:29:38 PM,381,193.8888889
437,2/23/2023,6:29:39 PM,381,193.8888889
438,2/23/2023,6:29:40 PM,381,193.8888889
439,2/23/2023,6:29:41 PM,381,193.8888889
440,2/23/2023,6:29:42 PM,380,193.3333333
441,2/23/2023,6:29:43 PM,380,193.3333333
442,2/23/2023,6:29:44 PM,380,193.3333333
443,2/23/2023,6:29:45 PM,380,193.3333333
444,2/23/2023,6:29:46 PM,379,192.7777778
445,2/23/2023,6:29:47 PM,379,192.7777778
446,2/23/2023,6:29:48 PM,379,192.7777778
447,2/23/2023,6:29:49 PM,378,192.2222222
448,2/23/2023,6:29:50 PM,378,192.2222222
449,2/23/2023,6:29:51 PM,378,192.2222222
450,2/23/2023,6:29:52 PM,378,192.2222222
451,2/23/2023,6:29:53 PM,378,192.2222222
452,2/23/2023,6:29:54 PM,377,191.6666667
453,2/23/2023,6:29:55 PM,377,191.6666667
454,2/23/2023,6:29:56 PM,377,191.6666667
455,2/23/2023,6:29:57 PM,377,191.6666667
